decile_score,priors_count,is_recid,time_in_jail,juv_crime_count,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M,c_charge_degree_O,crime_category_Driving and Vehicle-Related Offenses,crime_category_Drug Offenses,crime_category_Miscellaneous Offenses,crime_category_Theft and Fraud,crime_category_Violent and Serious Crimes
3,0.11627906976744186,1,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6,0.3023255813953488,1,0.00046468401486988845,0.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
9,0.023255813953488372,1,0.0013940520446096654,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0.0,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
4,0.0,0,0.00046468401486988845,0.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4,0.023255813953488372,1,0.0,0.0,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
3,0.023255813953488372,0,0.0483271375464684,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
3,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
9,0.0,0,0.05111524163568773,0.0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
6,0.18604651162790697,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
3,0.18604651162790697,1,0.007899628252788104,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
3,0.06976744186046512,0,0.0,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7,0.11627906976744186,1,0.0,0.047619047619047616,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
10,0.0,1,0.017193308550185873,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
9,0.20930232558139533,1,0.020446096654275093,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
8,0.09302325581395349,1,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.00046468401486988845,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
3,0.046511627906976744,0,0.0,0.0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1,0.0,0,0.0009293680297397769,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
10,0.3488372093023256,0,0.04275092936802974,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
3,0.11627906976744186,0,0.0766728624535316,0.09523809523809523,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
5,0.4418604651162791,0,0.002323420074349442,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
3,0.16279069767441862,1,0.0013940520446096654,0.0,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
8,0.13953488372093023,0,0.0055762081784386614,0.09523809523809523,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
5,0.09302325581395349,1,0.005111524163568773,0.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2,0.023255813953488372,1,0.00046468401486988845,0.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
9,0.4883720930232558,1,0.015334572490706319,0.2857142857142857,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0.0,0,0.011617100371747211,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
8,0.046511627906976744,0,0.03671003717472119,0.0,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.046511627906976744,0,0.00046468401486988845,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2,0.046511627906976744,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
6,0.0,0,0.12592936802973978,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
2,0.16279069767441862,0,0.00046468401486988845,0.0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
7,0.18604651162790697,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
9,0.5116279069767442,0,0.09154275092936802,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
7,0.0,1,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
10,0.20930232558139533,1,0.0027881040892193307,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
8,0.3023255813953488,1,0.0,0.23809523809523808,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.0,0.0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
3,0.09302325581395349,1,0.023698884758364312,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
4,0.0,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0.023255813953488372,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2,0.0,0,0.0,0.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2,0.0,0,0.011152416356877323,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
3,0.0,0,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6,0.46511627906976744,1,0.004646840148698884,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
9,0.023255813953488372,0,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0.023255813953488372,0,0.0037174721189591076,0.0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
6,0.06976744186046512,0,0.00046468401486988845,0.047619047619047616,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
5,0.3488372093023256,1,0.06273234200743494,0.047619047619047616,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
4,0.046511627906976744,1,0.00046468401486988845,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
5,0.0,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
8,0.06976744186046512,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7,0.0,0,0.010687732342007435,0.0,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1,0.09302325581395349,0,0.0,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
5,0.18604651162790697,0,0.00604089219330855,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.0,0.0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
3,0.11627906976744186,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
7,0.23255813953488372,1,0.016263940520446097,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
1,0.046511627906976744,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
10,0.3488372093023256,1,0.00046468401486988845,0.19047619047619047,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
2,0.09302325581395349,1,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
6,0.20930232558139533,0,0.00046468401486988845,0.19047619047619047,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
4,0.023255813953488372,1,0.00046468401486988845,0.047619047619047616,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.0,0.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
10,0.046511627906976744,1,0.05762081784386617,0.14285714285714285,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
9,0.09302325581395349,1,0.008364312267657992,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.011617100371747211,0.0,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
6,0.13953488372093023,1,0.013940520446096654,0.047619047619047616,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
1,0.0,0,0.0013940520446096654,0.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0.13953488372093023,1,0.11198884758364312,0.0,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
4,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3,0.046511627906976744,0,0.0,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
4,0.0,0,0.19470260223048327,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,0.023255813953488372,0,0.0018587360594795538,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
6,0.09302325581395349,0,0.0,0.047619047619047616,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
6,0.11627906976744186,1,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
6,0.023255813953488372,1,0.006505576208178439,0.047619047619047616,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4,0.023255813953488372,0,0.011617100371747211,0.0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
2,0.046511627906976744,0,0.0013940520446096654,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.023255813953488372,0,0.025557620817843865,0.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
3,0.023255813953488372,1,0.007434944237918215,0.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
8,0.0,0,0.02648698884758364,0.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
4,0.023255813953488372,1,0.0009293680297397769,0.0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
7,0.023255813953488372,1,0.00882899628252788,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,0.046511627906976744,0,0.011617100371747211,0.0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.06976744186046512,0,0.032063197026022304,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
2,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
1,0.0,0,0.0,0.0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
10,0.18604651162790697,1,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
9,0.0,0,0.00046468401486988845,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
5,0.06976744186046512,0,0.004182156133828996,0.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
6,0.06976744186046512,0,0.011617100371747211,0.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0.0,1,0.0,0.0,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
10,0.32558139534883723,1,0.0032527881040892194,0.38095238095238093,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
5,0.0,1,0.00046468401486988845,0.0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
9,0.046511627906976744,1,0.013940520446096654,0.047619047619047616,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7,0.046511627906976744,1,0.0,0.047619047619047616,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
6,0.13953488372093023,0,0.04879182156133829,0.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
5,0.09302325581395349,0,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7,0.23255813953488372,0,0.08410780669144981,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0.023255813953488372,0,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
7,0.20930232558139533,1,0.0013940520446096654,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
8,0.16279069767441862,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6,0.023255813953488372,1,0.0013940520446096654,0.0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
5,0.13953488372093023,0,0.004646840148698884,0.047619047619047616,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
8,0.20930232558139533,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
7,0.27906976744186046,0,0.011617100371747211,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
3,0.06976744186046512,0,0.007434944237918215,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
7,0.0,0,0.0,0.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0.046511627906976744,1,0.011617100371747211,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,0.06976744186046512,0,0.013940520446096654,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.0,0.0,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1,0.0,0,0.00046468401486988845,0.0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
4,0.023255813953488372,1,0.004182156133828996,0.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
2,0.023255813953488372,0,0.06366171003717472,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0.023255813953488372,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,1,0.00046468401486988845,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
3,0.18604651162790697,0,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
6,0.18604651162790697,1,0.0055762081784386614,0.14285714285714285,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4,0.0,0,0.002323420074349442,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
5,0.0,0,0.01765799256505576,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
4,0.023255813953488372,0,0.04925650557620818,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
9,0.32558139534883723,1,0.05065055762081784,0.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
6,0.16279069767441862,0,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
3,0.0,0,0.007434944237918215,0.0,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
1,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
9,0.046511627906976744,0,0.00046468401486988845,0.09523809523809523,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,0.0,0,0.0013940520446096654,0.0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
9,0.06976744186046512,1,0.0027881040892193307,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
7,0.0,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
8,0.0,0,0.0,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,0.11627906976744186,1,0.0009293680297397769,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
9,0.06976744186046512,0,0.0961895910780669,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
5,0.0,0,0.006505576208178439,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
3,0.06976744186046512,0,0.011617100371747211,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
5,0.11627906976744186,1,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0.06976744186046512,0,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,0.023255813953488372,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
9,0.23255813953488372,1,0.08178438661710037,0.047619047619047616,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
4,0.0,1,0.0,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
8,0.6511627906976745,1,0.00046468401486988845,0.6666666666666666,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
1,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
7,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
8,0.20930232558139533,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
2,0.023255813953488372,0,0.00046468401486988845,0.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
10,0.3023255813953488,1,0.21886617100371747,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
9,0.06976744186046512,1,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2,0.023255813953488372,0,0.00046468401486988845,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0.046511627906976744,0,0.0,0.0,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
9,0.18604651162790697,0,0.03671003717472119,0.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
8,0.046511627906976744,0,0.00604089219330855,0.0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
9,0.06976744186046512,0,0.0,0.0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
10,0.4418604651162791,1,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,0.0,0,0.006970260223048327,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0.046511627906976744,0,0.011617100371747211,0.0,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
6,0.09302325581395349,1,0.006505576208178439,0.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
3,0.13953488372093023,0,0.011617100371747211,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
4,0.046511627906976744,0,0.0013940520446096654,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
2,0.023255813953488372,0,0.0013940520446096654,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1,0.046511627906976744,0,0.011617100371747211,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2,0.046511627906976744,0,0.00046468401486988845,0.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
5,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2,0.0,1,0.0,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2,0.0,0,0.0009293680297397769,0.0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
8,0.3023255813953488,0,0.013475836431226766,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
9,0.0,0,0.0032527881040892194,0.0,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
4,0.23255813953488372,1,0.0032527881040892194,0.047619047619047616,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
3,0.0,0,0.0,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2,0.046511627906976744,1,0.011617100371747211,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
5,0.09302325581395349,1,0.0,0.0,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7,0.06976744186046512,1,0.0037174721189591076,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
4,0.023255813953488372,0,0.00046468401486988845,0.0,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
2,0.023255813953488372,0,0.0009293680297397769,0.0,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
3,0.046511627906976744,1,0.006970260223048327,0.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
10,0.11627906976744186,0,0.0027881040892193307,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2,0.023255813953488372,1,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2,0.023255813953488372,1,0.0,0.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
10,0.3488372093023256,0,0.018587360594795536,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,0.09302325581395349,0,0.011617100371747211,0.0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3,0.0,0,0.0,0.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
10,0.023255813953488372,0,0.0009293680297397769,0.047619047619047616,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.046511627906976744,0,0.004646840148698884,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.0,0,0.0,0.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
8,0.20930232558139533,1,0.00604089219330855,0.09523809523809523,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
6,0.2558139534883721,1,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
5,0.18604651162790697,1,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
8,0.09302325581395349,0,0.007434944237918215,0.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
3,0.0,1,0.00046468401486988845,0.0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
9,0.16279069767441862,1,0.0120817843866171,0.0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
